Y,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12
241.563114,1.765998,1.110420,0.031411,5.366491,8.800346,3.349839,0.193558,9.669047,2.622698,0.893650,8.990137,7.755609
198.227373,1.776363,1.361389,0.761303,3.615991,10.484468,3.563069,0.011895,8.639422,8.343507,0.978851,9.139275,6.104601
216.344886,1.778844,1.660602,0.349677,3.443069,15.217140,3.352647,0.058478,0.591880,4.627538,1.426715,9.024671,8.548405
300.023360,1.775124,1.243572,0.458525,4.826173,14.434667,3.650156,0.310368,3.788514,2.603179,0.765714,9.111226,14.122465
126.778394,1.778930,1.225286,0.581080,6.288740,3.822806,3.334817,0.766095,1.722661,3.543636,0.395943,9.022079,7.664536
298.252291,1.788330,1.440445,0.754207,6.317545,10.464320,3.490323,0.067887,11.820923,7.903398,1.010267,9.054161,4.881113
376.097382,1.768097,1.435385,0.357850,10.585138,8.783065,3.776349,0.197840,9.997737,3.160792,0.823919,8.974808,11.393845
411.528149,1.778313,1.603180,0.336718,4.176297,18.884884,3.324703,0.304570,12.510851,1.333287,0.718268,8.926797,6.784912
270.362890,1.771022,1.850210,0.268869,9.119562,7.664682,3.646071,0.505554,10.507680,6.711860,1.121480,8.923246,4.508128
198.682707,1.782885,1.691022,1.707133,5.635045,2.089065,3.356535,0.282037,5.505863,3.189797,0.309749,9.061203,9.532256
231.277354,1.771941,1.402801,0.576377,6.990657,4.925768,3.503949,0.736791,6.678926,2.289383,2.014301,8.933764,12.403714
176.396873,1.788395,1.091617,1.950355,6.236484,5.604578,3.479202,0.299688,8.718454,2.900609,1.166363,8.908143,5.711447
384.893914,1.781077,1.322946,0.192918,10.595939,14.046991,3.530284,0.078572,9.366492,5.978104,0.739402,9.061247,10.178539
220.766232,1.782055,0.975028,0.916137,6.524420,5.508187,3.683657,0.660714,8.928656,4.530387,1.213785,8.857611,10.268511
303.140047,1.770504,1.092995,1.321254,7.873740,19.535459,3.381539,0.349508,8.671278,4.435325,1.334093,9.038261,3.237669
220.403972,1.783905,1.415723,0.655975,5.228436,13.809988,3.448980,0.028182,5.592337,2.772919,0.220007,8.969672,10.301598
256.281945,1.775294,1.375161,0.661310,5.603030,9.392551,3.555377,0.750308,12.585471,5.178948,2.020098,8.951138,6.983332
193.707052,1.781131,1.234922,1.224511,1.496577,5.295449,3.580261,0.061766,9.918714,4.542098,0.244330,9.020568,9.326493
154.306499,1.772388,1.426470,0.008362,7.805899,1.897008,3.313045,0.484492,5.489967,0.886018,0.622331,9.071303,8.045552
114.779971,1.774914,0.740114,0.926918,6.358466,1.719802,3.411985,0.559240,1.000682,2.177738,1.139413,9.056640,5.337161
267.664742,1.784004,1.656559,0.412226,5.676848,8.961053,3.522108,0.501756,10.609285,4.937619,0.186224,8.939557,7.787684
111.042093,1.776522,1.076519,0.267098,6.141987,1.106505,3.326235,0.761160,0.927542,7.853035,0.401000,9.037342,7.526901
156.315287,1.780364,1.787233,0.915601,4.968008,11.628791,3.747240,0.138697,2.788817,0.562789,0.743688,8.948298,7.082949
204.109495,1.779352,1.231871,0.292006,3.043483,8.119597,3.536492,0.686082,10.046263,3.900850,0.456740,8.978928,2.979851
219.103131,1.777488,1.358494,0.326714,3.390540,0.866079,3.731065,0.065392,9.249496,5.051526,0.027582,8.855203,12.079099
186.465329,1.785759,0.866974,0.408067,3.538950,1.047675,3.681258,0.528039,10.374195,1.588497,1.402616,8.986047,8.616094
365.201314,1.766266,1.643695,1.333725,4.151159,9.269441,3.603157,0.275558,12.806704,4.012748,0.062087,9.014781,10.646450
299.618281,1.774248,1.476530,0.901568,7.553070,1.654584,3.507504,0.269268,11.758923,9.112717,0.630856,9.138191,5.940076
291.931443,1.774070,1.125241,1.056177,6.824590,6.050934,3.430360,0.073703,12.578501,3.651949,1.353330,9.017896,7.711291
196.745461,1.775775,1.003513,0.471273,4.652103,0.486668,3.483203,0.141432,9.080491,9.344076,0.888501,9.120456,4.368999
280.525260,1.770333,1.169345,0.000407,3.163658,10.777863,3.440504,0.466557,10.705035,6.065442,0.754327,8.906668,8.864587
337.172422,1.768661,1.487235,0.379573,6.143968,8.142445,3.708459,0.596438,13.354040,6.121051,0.699373,8.999129,8.808184
196.647301,1.771177,0.987457,1.040745,5.369822,7.491183,3.419482,0.788856,5.963129,10.685355,1.604671,9.192432,8.315467
391.909013,1.773008,1.300952,0.530480,4.255412,7.090163,3.492136,0.599194,14.466292,5.170700,1.660021,8.984816,11.136336
450.720493,1.782641,1.388407,0.421017,5.587854,9.744226,3.573851,0.228738,6.290607,4.427985,0.128606,9.061086,17.888414
127.157176,1.786707,0.899773,1.575602,6.111249,3.319184,3.477797,0.012981,3.918346,5.227575,0.293347,9.003443,5.828035
